File Path,File Id,Class Name,Class Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Coupling Between Objects,Fan In,Number of Children,Percentage of Pub Data,Response for Class,Weighted Methods,Defected?(false/true) 
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.PreprocessorPass,371,15694,15841,43,1.4444444444444444,0.5476190476190477,22,26,3.441860465116279,18,24,148,186,158,62,23,34.5,344,0.028985507246376812,1.9294189257142926,0.10718994031746071,0.055925186252588195,0.5581395348837209,0,0,0,20.0,6,6,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ResultExporter.java,109,.ParsedObjectManager.ResultExporter,110,11305,11587,64,1.4642857142857142,0.5079365079365079,31,41,4.421875,28,33,283,332,328,145,23,26.33103448275862,660,0.03797799895233106,2.2253092817258624,0.12362829342921458,0.0845127935699974,0.515625,4,2,0,0.0,11,11,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ResultExporter.java,109,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.ResultExporter,379,15857,16139,62,1.4642857142857142,0.4918032786885246,31,41,4.564516129032258,28,31,283,332,328,145,23,26.33103448275862,660,0.03797799895233106,2.2253092817258624,0.12362829342921458,0.0845127935699974,0.5,4,0,0,0.0,11,11,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ScopeAnalyzer.java,123,.ParsedObjectManager.ScopeAnalyzer,124,11594,11622,8,1.3333333333333333,0.5714285714285714,3,4,3.625,3,5,29,27,24,18,10,7.5,51,0.13333333333333333,1.4471580313422192,0.08039766840790107,0.19295440417896256,0.625,1,2,0,0.0,1,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ScopeAnalyzer.java,123,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.ScopeAnalyzer,392,16146,16174,7,1.3333333333333333,0.5,3,4,4.142857142857143,3,4,29,27,24,18,10,7.5,51,0.13333333333333333,1.4471580313422192,0.08039766840790107,0.19295440417896256,0.5714285714285714,1,0,0,0.0,1,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\SentenceAnalyzer.java,127,.ParsedObjectManager.SentenceAnalyzer,128,11636,11777,56,1.6666666666666667,0.6545454545454545,20,30,2.5357142857142856,18,37,142,164,167,53,19,29.396226415094343,331,0.03401797175866495,1.8573324964312685,0.10318513869062602,0.06318268441004957,0.6607142857142857,6,4,0,25.0,5,5,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\SentenceAnalyzer.java,127,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.SentenceAnalyzer,395,16188,16329,43,1.6666666666666667,0.5476190476190477,20,30,3.302325581395349,18,24,142,164,167,53,19,29.396226415094343,331,0.03401797175866495,1.8573324964312685,0.10318513869062602,0.06318268441004957,0.5581395348837209,6,0,0,25.0,5,5,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\TypedefAnalyzer.java,135,.ParsedObjectManager.TypedefAnalyzer,136,11780,11798,7,1.5,0.6666666666666666,2,3,2.7142857142857144,2,5,19,10,10,8,8,5.0,20,0.2,1.2041199826559248,0.06689555459199582,0.24082399653118497,0.7142857142857143,0,0,0,0.0,1,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\TypedefAnalyzer.java,135,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.TypedefAnalyzer,402,16332,16350,6,1.5,0.6,2,3,3.1666666666666665,2,4,19,10,10,8,8,5.0,20,0.2,1.2041199826559248,0.06689555459199582,0.24082399653118497,0.6666666666666666,0,0,0,0.0,1,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\Constants.java,140,.ParsedObjectManager.Constants,141,11807,11989,41,2.6923076923076925,0.525,13,35,4.463414634146342,13,22,183,181,87,129,16,11.224806201550388,268,0.08908839779005524,2.161368002234975,0.12007600012416526,0.19255281235380645,0.5365853658536586,0,0,0,100.0,6,6,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\Constants.java,140,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.Constants,405,16359,16541,38,2.6923076923076925,0.4864864864864865,13,35,4.815789473684211,13,19,183,181,87,129,16,11.224806201550388,268,0.08908839779005524,2.161368002234975,0.12007600012416526,0.19255281235380645,0.5,0,0,0,100.0,6,6,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\FunctionCall.java,148,.ParsedObjectManager.FunctionCall,149,0,0,7,0.0,1.0,0,0,0.0,0,7,0,8,8,6,1,0.6666666666666666,16,1.5,0.8450980400142567,0.04694989111190315,1.2676470600213852,1.0,0,2,0,100.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\FunctionCall.java,148,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall,412,0,0,5,0.0,1.0,0,0,0.0,0,5,0,8,8,6,1,0.6666666666666666,16,1.5,0.8450980400142567,0.04694989111190315,1.2676470600213852,1.0,0,0,0,100.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\FunctionFinder.java,150,.ParsedObjectManager.FunctionCall.FunctionFinder,151,0,0,5,0.0,1.0,0,0,0.0,0,5,0,8,8,7,1,0.5714285714285714,16,1.75,0.9030899869919434,0.05017166594399686,1.5804074772359011,1.0,0,2,0,20.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\FunctionFinder.java,150,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder,413,0,0,5,0.0,1.0,0,0,0.0,0,5,0,8,8,7,1,0.5714285714285714,16,1.75,0.9030899869919434,0.05017166594399686,1.5804074772359011,1.0,0,0,0,20.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\LLOCCounter.java,152,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter,153,0,0,15,0.0,1.0,0,0,0.0,0,15,0,26,12,25,2,1.04,38,0.9615384615384616,1.4313637641589876,0.07952020911994376,1.3763113116913341,1.0,0,2,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\LLOCCounter.java,152,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter,414,0,0,7,0.0,1.0,0,0,0.0,0,7,0,26,12,25,2,1.04,38,0.9615384615384616,1.4313637641589876,0.07952020911994376,1.3763113116913341,1.0,0,0,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\Log.java,154,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.Log,155,12055,12102,74,1.5,0.9452054794520548,4,6,0.6486486486486487,4,70,48,24,20,14,10,8.571428571428573,44,0.11666666666666665,1.3802112417116061,0.07667840231731145,0.161024644866354,0.9459459459459459,0,0,0,100.0,5,5,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\Log.java,154,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.Log,415,16607,16654,16,1.5,0.7333333333333333,4,6,3.0,4,12,48,24,20,14,10,8.571428571428573,44,0.11666666666666665,1.3802112417116061,0.07667840231731145,0.161024644866354,0.75,0,0,0,100.0,5,5,false
